t_s,t_after_step_s,delta_rad,omega_pu,freq_hz,speed_rpm,Pm_mw,Pm_pu,Pe_mw,Pe_pu,Pe_demand_mw,valve_pu,P_fuel_pu,fsrn_pu,fsra_pu,fsrt_pu,fsr_pu,fuel_kg_s,cum_fuel_kg,active_branch
0.78,-4.22,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485080323482,0.5484848484848485,0.7784778821960817,0.6072127481129437,0
0.8,-4.2,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484521336454,0.5484848484848485,0.7784778821960817,0.6227823057568653,0
0.8200000000000001,-4.18,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483938245624,0.5484848484848485,0.7784778821960817,0.638351863400787,0
0.84,-4.16,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483436768243,0.5484848484848485,0.7784778821960817,0.6539214210447085,0
0.86,-4.14,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483149523399,0.5484848484848485,0.7784778821960817,0.6694909786886302,0
0.88,-4.12,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483236032014,0.5484848484848485,0.7784778821960817,0.6850605363325518,0
0.9,-4.1,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483882768044,0.5484848484848485,0.7784778821960817,0.7006300939764735,0
0.92,-4.08,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484861210186,0.5484848484848485,0.7784778821960817,0.7161996516203951,0
0.9400000000000001,-4.06,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484721614676,0.5484848484848485,0.7784778821960817,0.7317692092643168,0
0.96,-4.04,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484462229924,0.5484848484848485,0.7784778821960817,0.7473387669082383,0
0.98,-4.02,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484878300946,0.5484848484848485,0.7784778821960817,0.76290832455216,0
1.0,-4.0,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484755729067,0.5484848484848485,0.7784778821960817,0.7784778821960816,0
1.02,-3.98,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748477671424,0.5484848484848485,0.7784778821960817,0.7940474398400033,0
1.04,-3.96,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485952850548,0.5484848484848485,0.7784778821960817,0.8096169974839249,0
1.06,-3.94,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527486087739343,0.5484848484848485,0.7784778821960817,0.8251865551278466,0
1.08,-3.92,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484488359321,0.5484848484848485,0.7784778821960817,0.8407561127717682,0
1.1,-3.9,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.552748299509236,0.5484848484848485,0.7784778821960817,0.8563256704156899,0
1.12,-3.88,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484690483395,0.5484848484848485,0.7784778821960817,0.8718952280596115,0
1.1400000000000001,-3.86,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485577253561,0.5484848484848485,0.7784778821960817,0.8874647857035332,0
1.16,-3.84,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483775594573,0.5484848484848485,0.7784778821960817,0.9030343433474546,0
