t_s,t_after_step_s,delta_rad,omega_pu,freq_hz,speed_rpm,Pm_mw,Pm_pu,Pe_mw,Pe_pu,Pe_demand_mw,valve_pu,P_fuel_pu,fsrn_pu,fsra_pu,fsrt_pu,fsr_pu,fuel_kg_s,cum_fuel_kg,domega_dt_pu_s
26.88,21.88,113.84719838722218,1.0114888571722438,60.689331430334626,3641.3598858200776,8.124682471237147,0.35324706396683253,8.137866286066926,0.3538202733072576,8.0,0.44318933360135665,0.44183036146089416,0.4452153440101847,0.44626696427326407,0.4507390763898174,0.4452153440101847,0.6271005753944864,18.66497439973262,-0.00010267341976089028
26.89,21.89,113.89050876125187,1.011488097197456,60.689285831847364,3641.357149910842,8.131423647874092,0.3535401586032214,8.137857166369471,0.35381987679867266,8.0,0.44332090823785997,0.4420440476452826,0.4452424277255585,0.44629269419001,0.4507757531839961,0.4452424277255585,0.6274038653918981,18.671246921936554,-5.026220259196634e-05
26.900000000000002,21.900000000000002,113.93381724628817,1.011487851928192,60.68927111569152,3641.356266941491,8.137929378540576,0.3538230164582859,8.137854223138305,0.3538197488321002,8.0,0.44344557558267134,0.4422549686895801,0.4452643782780823,0.4463147061234736,0.45080701681979307,0.4452643782780823,0.6277032307587425,18.677522457417307,2.729699701831123e-07
26.91,21.91,113.9771257474425,1.0114881026568554,60.689286159411324,3641.3571695646797,8.14420102857509,0.35409569689456916,8.137857231882265,0.35381987964705497,8.0,0.44356345590697877,0.442462995567794,0.44528137150245073,0.44632879553731547,0.4508330428620294,0.44528137150245073,0.6279984883652912,18.683800966012925,4.894461180526832e-05
26.92,21.92,114.02043609963853,1.0114888308204282,60.68932984922569,3641.3597909535415,8.150240189352255,0.35435826910227197,8.137865969845137,0.35382025955848423,8.0,0.4436746728542774,0.44266800720087823,0.4452935822092397,0.44633732576780594,0.4508540061907724,0.4452935822092397,0.6282894663611097,18.69008240578656,9.576745195971625e-05
26.93,21.93,114.06375006794234,1.0114900180058946,60.689401080353676,3641.3640648212204,8.156048674059331,0.35461081191562316,8.137880216070734,0.35382087895959713,8.0,0.44377935333713586,0.4428698903886566,0.4453011841285725,0.44634524209552034,0.4508700809444983,0.4453011841285725,0.6285760040784356,18.696366733138756,0.00014075681397685003
26.94,21.94,114.1070693483095,1.0114916459567078,60.68949875740247,3641.369925444148,8.161628511041274,0.3548534135235336,8.137899751480493,0.35382172832523884,8.0,0.4438776273877497,0.44306853968175763,0.44530434984082207,0.4463470103863186,0.45088144045016154,0.44530434984082207,0.6288579518504118,18.702653902918403,0.00018392986572735026
26.95,21.95,114.15039556831658,1.011493696603209,60.68962179619255,3641.3773077715528,8.166981925293854,0.3550861706649502,8.137924359238509,0.35382279822776125,8.0,0.4439696276612532,0.4432638571497913,0.4453032504674301,0.4463423297501918,0.4508882568820768,0.4453032504674301,0.6291351706820546,18.708943868531065,0.00022530600760717334
26.96,21.96,114.19373028779084,1.01149615207686,60.689769124611594,3641.3861474766954,8.172111328532052,0.35530918819704577,8.13795382492232,0.3538240793444487,8.0,0.4440554891817339,0.4434557522349158,0.44529805552451224,0.44633646476490507,0.450890701104625,0.44529805552451224,0.6294075320424172,18.71523658204469,0.0002649055240979692
26.97,21.97,114.23707499944769,1.011498994713691,60.68993968282146,3641.3963809692877,8.177019314616814,0.3555225788963832,8.137987936564292,0.353825562459317,8.0,0.4441353492438573,0.443644141652506,0.44528893288445826,0.44632617449528095,0.45088894262886636,0.44528893288445826,0.6296749177236058,18.721531994293517,0.00030274992581524884
26.98,21.98,114.28043112992172,1.0115022070753763,60.69013242452258,3641.4079454713547,8.181708644452637,0.3557264628022886,8.138026484904515,0.35382723847410935,8.0,0.4442093470287767,0.4438289491618956,0.4452760485585655,0.4463106121489719,0.45088314937483204,0.4452760485585655,0.6299372195153891,18.727830054979712,0.00033886253671511213
26.990000000000002,21.990000000000002,114.32380004065472,1.0115057719644251,60.69034631786551,3641.4207790719306,8.18618223448145,0.3559209667165848,8.138069263573101,0.3538290984162218,8.0,0.44427762331621623,0.4440101053822162,0.44525956653947407,0.44629309483874063,0.45087348750017214,0.44525956653947407,0.6301943389438134,18.73413071277201,0.00037326755906264
