t_s,t_after_step_s,delta_rad,omega_pu,freq_hz,speed_rpm,Pm_mw,Pm_pu,Pe_mw,Pe_pu,Pe_demand_mw,valve_pu,P_fuel_pu,fsrn_pu,fsra_pu,fsrt_pu,fsr_pu,fuel_kg_s,cum_fuel_kg
51.1,46.1,-88.27279177275018,0.9956213268785361,59.737279612712165,3584.2367767627297,13.908058730096306,0.6046982056563611,13.908047864449259,0.6046977332369243,14.0,0.6241894449350159,0.6214563289290639,0.6241894344006986,0.6251905415800046,0.6274752734676945,0.6241894344006986,0.8820480787363328,44.480645488624205
51.150000000000006,46.150000000000006,-88.3553277770045,0.9956213310738045,59.73727986442827,3584.236791865696,13.908058701136607,0.6046982043972439,13.908047952549895,0.6046977370673867,14.0,0.624189441442526,0.6214563280108315,0.6241894310216995,0.6251890675296057,0.6274752698931134,0.6241894310216995,0.8820480774330633,44.524747892528445
51.2,46.2,-88.43786370260662,0.9956213352238753,59.73728011343252,3584.2368068059513,13.908058672488902,0.6046982031516914,13.908048039701384,0.6046977408565819,14.0,0.6241894379876624,0.6214563271024918,0.6241894276791047,0.62519019680002,0.6274752663569092,0.6241894276791047,0.8820480761438346,44.56885029636786
51.25,46.25,-88.5203995504039,0.9956213393292358,59.737280359754145,3584.236821585249,13.908058644149836,0.6046982019195581,13.908048125913954,0.6046977446049545,14.0,0.6241894345700196,0.6214563262039379,0.6241894243725193,0.6251878577244359,0.6274752628586694,0.6241894243725193,0.8820480748684952,44.61295270014317
51.300000000000004,46.300000000000004,-88.60293532123455,0.9956213433903673,59.73728060342204,3584.2368362053226,13.908058616116083,0.6046982007006992,13.908048211197714,0.6046977483129441,14.0,0.6241894311891963,0.6214563253150646,0.6241894211015586,0.625190745985999,0.6274752593979858,0.6241894211015586,0.8820480736068957,44.65705510385506
51.35,46.35,-88.68547101592777,0.9956213474077465,59.73728084446479,3584.2368506678877,13.908058588384346,0.6046981994949716,13.90804829556268,0.6046977519809861,14.0,0.6241894278447965,0.6214563244357674,0.6241894178658373,0.6251887655340984,0.6274752559744584,0.6241894178658373,0.8820480723588878,44.7011575075042
51.400000000000006,46.400000000000006,-88.76800663530383,0.9956213513818447,59.737281082910684,3584.236864974641,13.908058560951378,0.6046981983022338,13.90804837901874,0.6046977556095104,14.0,0.6241894245364273,0.6214563235659433,0.6241894146649766,0.6251914088790873,0.6274752525876852,0.6241894146649766,0.8820480711243254,44.74525991109128
51.45,46.45,-88.85054218017416,0.9956213553131283,59.7372813187877,3584.236879127262,13.908058533813959,0.6046981971223461,13.908048461575696,0.6046977591989433,14.0,0.6241894212637007,0.6214563227054903,0.6241894114985987,0.6251890300140699,0.6274752492372718,0.6241894114985987,0.8820480699030636,44.789362314616966
51.5,46.5,-88.93307765134142,0.9956213592020584,59.737281552123505,3584.2368931274104,13.908058506968896,0.6046981959551694,13.908048543243227,0.6046977627497055,14.0,0.6241894180262324,0.6214563218543073,0.6241894083663351,0.6251903699503764,0.6274752459228282,0.6241894083663351,0.8820480686949589,44.83346471808191
51.550000000000004,46.550000000000004,-89.01561304959968,0.9956213630490914,59.73728178294549,3584.236906976729,13.908058480413052,0.6046981948005675,13.90804862403092,0.6046977662622139,14.0,0.6241894148236431,0.6214563210122945,0.6241894052678159,0.6251887791665961,0.6274752426439684,0.6241894052678159,0.8820480674998696,44.87756712148679
51.6,46.6,-89.09814837573438,0.9956213668546786,59.73728201128072,3584.236920676843,13.908058454143308,0.6046981936584047,13.908048703948252,0.6046977697368805,14.0,0.6241894116555563,0.6214563201793531,0.6241894022026793,0.6251900164641903,0.6274752394003092,0.6241894022026793,0.8820480663176556,44.921669524832225
